Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
11/2024,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,05/01/2024,-,-,Itaú,-,29/11/2024
11/2024,qc3011,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,29/11/2024
11/2024,1585/10,HYPER CONSULTORIA,950,950,Em aberto,00/00/0000,21/02/2024,-,-,Itaú,-,29/11/2024
11/2024,188344,E-Clik Serviços Digitais Ltda,"366,28","366,28",Em aberto,00/00/0000,07/11/2024,-,Propaganda e publicidade,Itaú,-,25/11/2024
11/2024,2606/8,BNI BRASIL,"350,75","350,75",Em aberto,00/00/0000,30/03/2024,-,-,Sicredi,-,28/11/2024
11/2024,3175/8,Google Internet,"9.500,00","9.500,00",Em aberto,00/00/0000,16/04/2024,-,Propaganda e publicidade,Sicredi,-,28/11/2024
11/2024,3187/8,Allied (Samsung),"62,9","62,9",Em aberto,00/00/0000,16/04/2024,-,-,Sicredi,-,28/11/2024
11/2024,3196/8,Allied (Samsung),"649,9","649,9",Em aberto,00/00/0000,16/04/2024,-,-,Sicredi,-,28/11/2024
11/2024,3213/8,ACE Funcional e Pilates,"238,88","238,88",Em aberto,00/00/0000,16/04/2024,-,-,Sicredi,-,28/11/2024
11/2024,,Astronpay Astronmen,217,217,Em aberto,00/00/0000,15/05/2024,-,-,Sicredi,-,28/11/2024
11/2024,418472/7,2Eletro Com e Distr de Produtos,"263,94","263,94",Em aberto,00/00/0000,14/05/2024,-,-,Sicredi,-,28/11/2024
11/2024,152/6,Robmosan Comercio de Informática,"269,88","269,88",Em aberto,00/00/0000,17/05/2024,-,-,Sicredi,-,28/11/2024
11/2024,4760/5,Dohko Technology,649,649,Em aberto,00/00/0000,13/07/2024,-,-,Sicredi,-,29/11/2024
11/2024,5272/4,Diego de Holanda,"385,71","385,71",Em aberto,00/00/0000,20/08/2024,-,Limpeza e manutenção,Sicredi,-,28/11/2024
11/2024,1028/2,Muito Alem da Impressão Sempre Ltda - Grafica MAIS,730,730,Em aberto,00/00/0000,19/09/2024,-,Limpeza e manutenção,Sicredi,-,28/11/2024
