Genre,Series_Title,IMDB_Rating,No_of_Votes,Meta_score,Released_Year,Director
Action,The Dark Knight,9.0,2303232,84.0,2008,Christopher Nolan
Action,The Lord of the Rings: The Return of the King,8.9,1642758,94.0,2003,Peter Jackson
Action,Inception,8.8,2067042,74.0,2010,Christopher Nolan
Action,The Lord of the Rings: The Fellowship of the Ring,8.8,1661481,92.0,2001,Peter Jackson
Action,The Matrix,8.7,1676426,73.0,1999,Lana Wachowski
Action,The Lord of the Rings: The Two Towers,8.7,1485555,87.0,2002,Peter Jackson
Action,Star Wars: Episode V - The Empire Strikes Back,8.7,1159315,82.0,1980,Irvin Kershner
Action,Star Wars,8.6,1231473,90.0,1977,George Lucas
Action,Shichinin no samurai,8.6,315744,98.0,1954,Akira Kurosawa
Action,Seppuku,8.6,42004,85.0,1962,Masaki Kobayashi
Adventure,The Lord of the Rings: The Return of the King,8.9,1642758,94.0,2003,Peter Jackson
Adventure,Inception,8.8,2067042,74.0,2010,Christopher Nolan
Adventure,The Lord of the Rings: The Fellowship of the Ring,8.8,1661481,92.0,2001,Peter Jackson
Adventure,The Lord of the Rings: The Two Towers,8.7,1485555,87.0,2002,Peter Jackson
Adventure,Star Wars: Episode V - The Empire Strikes Back,8.7,1159315,82.0,1980,Irvin Kershner
Adventure,Interstellar,8.6,1512360,74.0,2014,Christopher Nolan
Adventure,Star Wars,8.6,1231473,90.0,1977,George Lucas
Adventure,Sen to Chihiro no kamikakushi,8.6,651376,96.0,2001,Hayao Miyazaki
Adventure,Shichinin no samurai,8.6,315744,98.0,1954,Akira Kurosawa
Adventure,Gladiator,8.5,1341460,67.0,2000,Ridley Scott
Animation,Sen to Chihiro no kamikakushi,8.6,651376,96.0,2001,Hayao Miyazaki
Animation,The Lion King,8.5,942045,88.0,1994,Roger Allers
Animation,Hotaru no haka,8.5,235231,94.0,1988,Isao Takahata
Animation,WALL·E,8.4,999790,95.0,2008,Andrew Stanton
Animation,Coco,8.4,384171,81.0,2017,Lee Unkrich
Animation,Spider-Man: Into the Spider-Verse,8.4,375110,87.0,2018,Bob Persichetti
Animation,Mononoke-hime,8.4,343171,76.0,1997,Hayao Miyazaki
Animation,Kimi no na wa.,8.4,194838,79.0,2016,Makoto Shinkai
Animation,Toy Story,8.3,887429,95.0,1995,John Lasseter
Animation,Up,8.2,935507,88.0,2009,Pete Docter
Biography,Schindler's List,8.9,1213505,94.0,1993,Steven Spielberg
Biography,Goodfellas,8.7,1020727,90.0,1990,Martin Scorsese
Biography,Hamilton,8.6,55291,90.0,2020,Thomas Kail
Biography,The Intouchables,8.5,760360,57.0,2011,Olivier Nakache
Biography,The Pianist,8.5,729603,85.0,2002,Roman Polanski
Biography,Dangal,8.4,156479,,2016,Nitesh Tiwari
Biography,Ayla: The Daughter of War,8.4,34112,,2017,Can Ulkay
Biography,Braveheart,8.3,959181,68.0,1995,Mel Gibson
Biography,Amadeus,8.3,369007,88.0,1984,Milos Forman
Biography,Lawrence of Arabia,8.3,268085,100.0,1962,David Lean
Comedy,La vita è bella,8.6,623629,59.0,1997,Roberto Benigni
Comedy,Gisaengchung,8.6,552778,96.0,2019,Bong Joon Ho
Comedy,Back to the Future,8.5,1058081,87.0,1985,Robert Zemeckis
Comedy,The Intouchables,8.5,760360,57.0,2011,Olivier Nakache
Comedy,Modern Times,8.5,217881,96.0,1936,Charles Chaplin
Comedy,City Lights,8.5,167839,99.0,1931,Charles Chaplin
Comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,450474,97.0,1964,Stanley Kubrick
Comedy,3 Idiots,8.4,344445,67.0,2009,Rajkumar Hirani
Comedy,The Great Dictator,8.4,203150,,1940,Charles Chaplin
Comedy,Toy Story,8.3,887429,95.0,1995,John Lasseter
Crime,The Godfather,9.2,1620367,100.0,1972,Francis Ford Coppola
Crime,The Dark Knight,9.0,2303232,84.0,2008,Christopher Nolan
Crime,The Godfather: Part II,9.0,1129952,90.0,1974,Francis Ford Coppola
Crime,12 Angry Men,9.0,689845,96.0,1957,Sidney Lumet
Crime,Pulp Fiction,8.9,1826188,94.0,1994,Quentin Tarantino
Crime,Goodfellas,8.7,1020727,90.0,1990,Martin Scorsese
Crime,Se7en,8.6,1445096,65.0,1995,David Fincher
Crime,The Silence of the Lambs,8.6,1270197,85.0,1991,Jonathan Demme
Crime,The Green Mile,8.6,1147794,61.0,1999,Frank Darabont
Crime,Cidade de Deus,8.6,699256,79.0,2002,Fernando Meirelles
Drama,The Godfather,9.2,1620367,100.0,1972,Francis Ford Coppola
Drama,The Dark Knight,9.0,2303232,84.0,2008,Christopher Nolan
Drama,The Godfather: Part II,9.0,1129952,90.0,1974,Francis Ford Coppola
Drama,12 Angry Men,9.0,689845,96.0,1957,Sidney Lumet
Drama,Pulp Fiction,8.9,1826188,94.0,1994,Quentin Tarantino
Drama,The Lord of the Rings: The Return of the King,8.9,1642758,94.0,2003,Peter Jackson
Drama,Schindler's List,8.9,1213505,94.0,1993,Steven Spielberg
Drama,Fight Club,8.8,1854740,66.0,1999,David Fincher
Drama,Forrest Gump,8.8,1809221,82.0,1994,Robert Zemeckis
Drama,The Lord of the Rings: The Fellowship of the Ring,8.8,1661481,92.0,2001,Peter Jackson
Family,Sen to Chihiro no kamikakushi,8.6,651376,96.0,2001,Hayao Miyazaki
Family,It's a Wonderful Life,8.6,405801,89.0,1946,Frank Capra
Family,Modern Times,8.5,217881,96.0,1936,Charles Chaplin
Family,WALL·E,8.4,999790,95.0,2008,Andrew Stanton
Family,Coco,8.4,384171,81.0,2017,Lee Unkrich
Family,Taare Zameen Par,8.4,168895,,2007,Aamir Khan
Family,The Kid,8.3,113314,,1921,Charles Chaplin
Family,Babam ve Oglum,8.3,78925,,2005,Çagan Irmak
Family,Bacheha-Ye aseman,8.3,65341,77.0,1997,Majid Majidi
Family,Hauru no ugoku shiro,8.2,333915,80.0,2004,Hayao Miyazaki
Fantasy,Star Wars: Episode V - The Empire Strikes Back,8.7,1159315,82.0,1980,Irvin Kershner
Fantasy,Star Wars,8.6,1231473,90.0,1977,George Lucas
Fantasy,The Green Mile,8.6,1147794,61.0,1999,Frank Darabont
Fantasy,It's a Wonderful Life,8.6,405801,89.0,1946,Frank Capra
Fantasy,Kimi no na wa.,8.4,194838,79.0,2016,Makoto Shinkai
Fantasy,Star Wars: Episode VI - Return of the Jedi,8.3,950470,58.0,1983,Richard Marquand
Fantasy,Tumbbad,8.3,27793,,2018,Rahi Anil Barve
Fantasy,Pan's Labyrinth,8.2,618623,98.0,2006,Guillermo del Toro
Fantasy,Monty Python and the Holy Grail,8.2,500875,91.0,1975,Terry Gilliam
Fantasy,Tonari no Totoro,8.2,291180,86.0,1988,Hayao Miyazaki
Film-Noir,Sunset Blvd.,8.4,201632,,1950,Billy Wilder
Film-Noir,Double Indemnity,8.3,143525,95.0,1944,Billy Wilder
Film-Noir,The Third Man,8.1,158731,97.0,1949,Carol Reed
