arquivo,Ata,Data,Assunto,Preposicoes
ata_1.pdf,"Ata da vigésima primeira reunião ordinária da Comissão de Economia, Finanças e Fiscalização",11/dezembro/2024,"Apresentação da fase atual de trabalho e resultados pelos estagiários de pós-graduação do PPGEcon da UFPR, discussão e votação das proposições 013.00003.2024 e 013.00004.2024",013.00003.2024 e 013.00004.2024
ata_2.pdf,"Ata da vigésima reunião da Comissão de Economia, Finanças e Fiscalização",04/dezembro/2024,"Discussão e votação das proposições 005.00019.2024, 005.00135.2024 e 013.00002.2024","005.00019.2024, 005.00135.2024 e 013.00002.2024"
ata_3.pdf,"Ata da décima nona reunião ordinária da Comissão de Economia, Finanças e Fiscalização",27/novembro/2024,"Leitura, discussão e aprovação de pareceres referentes às proposições, inclusão na pauta da proposição 005.00127.2024","005.00014.2024, 005.000123.2024, 005.00042.2024, 501.00004.2024, 005.00127.2024"
ata_4.pdf,"Ata da décima oitava reunião ordinária da Comissão de Economia, Finanças e Fiscalização",13/novembro/2024,Análise e votação de pareceres de proposições orçamentárias e discussão sobre ofício da Cohab CT,"013.00002.2024, 005.00085.2024, 005.00023.2024, 005.00212.2023, 005.00014.2024, 501.00004.2024, 005.00054.2024, 005.00049.2024"
ata_5.pdf,"Ata da audiência pública da Comissão de Economia, Finanças e Fiscalização",doze de novembro de dois mil e vinte e quatro,discussão do projeto de lei orçamentária para o ano de dois mil e vinte e cinco,054.00012.2024
ata_6.pdf,"Ata da quarta reunião extraordinária da Comissão de Economia, Finanças e Fiscalização",11/novembro/2024,Apreciação da possibilidade de alterar o cronograma de tramitação da Lei Orçamentária Anual (LOA) para 2025,
ata_7.pdf,"ATA DA TERCEIRA REUNIÃO EXTRAORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",4/novembro/2024,Discussão sobre o projeto de lei 005.00049.2024 e encaminhamento de ofício à Cohab-CT,005.00049.2024
ata_8.pdf,"ATA DA DÉCIMA SÉTIMA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",30/outubro/2024,Pedidos de vista sobre as proposições,005.00049.2024
ata_9.pdf,"ATA DA DÉCIMA SEXTA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",décimo sexto dia do mês de outubro de dois mil e vinte e quatro,"Leitura, discussão e acatação do parecer pelo trâmite regimental da proposição 005.00054.2024, envio de ofício ao Município questionando a realização de campanhas educativas na área da saúde e eventuais custos atrelados e encaminhamento de ofício ao Município questionando a execução das emendas parlamentares à Lei Orçamentária Anual para 2024, destinada aos hospitais de Curitiba",005.00054.2024
ata_10.pdf,"ATA DA DÉCIMA QUINTA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",nove de outubro de dois mil e vinte e quatro,"pedidos de vista sobre as proposições, manifestações pela admissibilidade da proposição 013.00003.2024, pela admissibilidade do projeto de lei orçamentária anual 013.00004.2024","005.00054.2024, 013.00003.2024, 013.00004.2024 e 005.00019.2024"
ata_11.pdf,"Ata da audiência pública da Comissão de Economia, Finanças e Fiscalização",trinta de setembro de dois mil e vinte e quatro,"Prestação de contas do Executivo e do Legislativo, referentes ao segundo quadrimestre do corrente ano",
ata_12.pdf,"Ata da Segunda Reunião Extraordinária da Comissão de Economia, Finanças e Fiscalização",Vinte e Cinco de Setembro de Dois Mil e Vinte e Quatro,"Solicitação de vista da proposição 005.00019.2024, discussão e votação das proposições 005.00054.2023 e 005.00085.2024 e aprovação do cronograma de tramitação do projeto de lei orçamentária anual para 2025","005.00019.2024, 005.00054.2023 e 005.00085.2024"
ata_13.pdf,"ATA DA DÉCIMA QUARTA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",dezoito de setembro de dois mil e vinte e quatro,Discussão e deliberação de proposições,"005.00054.2023, 005.00085.2024, 005.00023.2024, 002.00010.2023 e 005.00044.2024"
ata_14.pdf,"ATA DA DÉCIMA TERCEIRA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",04/setembro/2024,"Deliberação sobre inclusão em pauta da proposioção 005.00178.2023, discussão sobre atendimento e acolhimento institucional de pessoas em situação de vulnerabilidade social, avaliação do Edital de Chamamento Público nº 001/2024, solicitação de vista da proposição 002.00010.2023, votação das proposições 002.00002.2024 e 005.00178.2023, discussão da proposição 005.00049.2024 e devolução da proposição 005.00170.2023","005.00178.2023, 002.00010.2023, 002.00002.2024, 005.00049.2024, 005.00170.2023"
ata_15.pdf,"ATA DA DÉCIMA SEGUNDA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",26/junho/2024,"Discussão e votação da manifestação da relatora Indiara Barbosa, pela elaboração de decreto de rejeição das contas referentes à proposição 501.00003.2024 e o voto em separado da Vereadora Professora Josete, pela elaboração de decreto de aprovação com ressalvas, discussão e votação das manifestações dos relatores, pela elaboração de decretos de aprovações, com ressalvas, das contas referentes aos exercícios de 2014 (501.00002.2024) e 2016 (501.00001.2024) e os votos em separado, pela elaboração de decreto de rejeição das contas","501.00003.2024, 501.00002.2024 e 501.00001.2024"
ata_16.pdf,"ATA DA DÉCIMA PRIMEIRA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",dezenove de junho de dois mil e vinte e quatro,Discussão e votação de proposições e pareceres,"501.00003.2024, 501.00001.2024, 501.00002.2024, 005.00045.2024, 005.00016.2024, 013.00001.2024"
ata_17.pdf,"Ata da décima reunião ordinária da Comissão de Economia, Finanças e Fiscalização",17/junho/2024,Discussão e votação das manifestações pela tramitação das proposições e voto em separado,"005.00133.2023, 005.00040.2023, 005.00144.2023, 005.00223.2023, 005.00009.2024 e 005.00044.2024"
ata_18.pdf,"ATA DA AUDIÊNCIA PÚBLICA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO, REALIZADA NO DIA DEZ DE JUNHO DE DOIS MIL E VINTE E QUATRO, PARA DISCUSSÃO DO PROJETO DE LEI DE DIRETRIZES ORÇAMENTÁRIAS PARA O ANO DE 2025",dez de junho de dois mil e vinte e quatro,Discussão do projeto de Lei de Diretrizes Orçamentárias para o ano de 2025,056.00038.2024
ata_19.pdf,"ATA DA NONA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",29/maio/2024,"Inclusão em pauta da proposição 005.00044.2024, solicitação de vista da proposição 005.00133.2023, discussão e aprovação das manifestações pela devolução ao autor das proposições 005.00016.2024 e 005.000155.2022 e pela tramitação da proposição 005.00108.2023 e solicitação de vista da proposição 005.00044.2024","005.00044.2024, 005.00133.2023, 005.00016.2024, 005.000155.2022 e 005.00108.2023"
ata_20.pdf,"ATA DA AUDIÊNCIA PÚBLICA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO, REALIZADA NO DIA VINTE E SETE DE MAIO DE DOIS MIL E VINTE E QUATRO, PARA DEMONSTRAÇÃO E AVALIAÇÃO DO CUMPRIMENTO DAS METAS FISCAIS DO PRIMEIRO QUADRIMESTRE DE DOIS MIL E VINTE QUATRO, PELOS PODERES EXECUTIVO E LEGISLATIVO",vinte e sete de maio de dois mil e vinte e quatro,"Demonstração e avaliação do cumprimento das metas fiscais do primeiro quadrimestre de dois mil e vinte quatro, pelos poderes executivo e legislativo",056.00033.2024
ata_21.pdf,"OITAVA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",VINTE E DOIS DE MAIO DE DOIS MIL E VINTE E QUATRO,Discussão e votação das proposições,"005.00155.2022, 005.00215.2023, 005.00216.2023, 005.00217.2023, 013.00001.2024"
ata_22.pdf,"Ata da Primeira Reunião Extraordinária da Comissão de Economia, Finanças e Fiscalização",Quinze de maio de dois mil e vinte e quatro,"Discussão e votação das proposições 005.00008.2024 e 005.00006.2024, mudança no cronograma de tramitação do Projeto de Lei de Diretrizes Orçamentárias e questionamentos ao IMAP, referentes aos resultados do Plano Plurianual",005.00008.2024 e 005.00006.2024
ata_23.pdf,"ATA DA AUDIÊNCIA PÚBLICA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO, REALIZADA NO DIA QUATORZE DE MAIO DE DOIS MIL E VINTE E QUATRO, PARA O PODER EXECUTIVO DEMONSTRAR E AVALIAR O CUMPRIMENTO, NO ANO DE 2023, DE METAS REFERENTES AO PLANO PLURIANUAL PARA O QUADRIÊNIO DE 2022 A 2025",quatorze de maio de dois mil e vinte e quatro,"representantes do Poder Executivo demonstrarem e avaliarem o cumprimento de metas referente ao Plano Plurianual, no ano de 2023, de acordo com o que determina o parágrafo segundo do artigo 7º, da Lei Municipal nº 15.926/2021",Nenhuma.
ata_24.pdf,"ATA DA SÉTIMA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",Oito de maio de dois mil e vinte e quatro,"Considerações acerca da proposição nº 005.00008.2024, debate com os Vereadores membros da Comissão, discussão e votação das proposições 005.00247.2021 e 005.00017.2024","005.00008.2024, 005.00247.2021, 005.00017.2024, 005.00006.2024"
ata_25.pdf,"ATA DA SEXTA REUNIÃO ORDINÁRIA DA COMISSÃO DE ECONOMIA, FINANÇAS E FISCALIZAÇÃO",vinte e quatro de abril de dois mil e vinte e quatro,"Reunião Ordinária da Comissão de Economia, Finanças e Fiscalização, discussão e votação de proposições","005.00218.2023, 005.00006.2024, 005.00247.2021, 005.00106.2022, 002.00003.2023, 005.00002.2024, 005.00010.2024, 005.00085.2023, 005.00128.2023, 005.00008.2024"
ata_26.pdf,"Ata da quinta reunião ordinária da Comissão de Economia, Finanças e Fiscalização",10/abril/2024,Discussão e votação de proposições,"005.00106.2022, 005.00128.2023, 005.00217.2023, 005.00215.2023, 005.00216.2023 e 005.00060.2023"
