Arquivo,Numero,Tema
preposicao_1.pdf,501.00004.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2022)
preposicao_2.pdf,501.00003.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2016)
preposicao_3.pdf,501.00002.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2014)
preposicao_4.pdf,501.00001.2024,Prestação de Contas do Município de Curitiba (Exercício Financeiro de 2012)
preposicao_5.pdf,013.00004.2024,Estima a Receita e fixa a Despesa do Município de Curitiba para o exercício financeiro de 2025.
preposicao_6.pdf,013.00003.2024,Alteração da Lei Municipal nº 16.362/2024 (Lei de Diretrizes Orçamentárias para 2025)
preposicao_7.pdf,013.00002.2024,Abertura de Crédito Adicional Suplementar para despesas fixadas na Lei Orçamentária Anual.
preposicao_8.pdf,013.00001.2024,Diretrizes para Elaboração e Execução da Lei Orçamentária Anual para 2025
preposicao_9.pdf,005.00247.2021,Compartilhamento de bicicletas em vias e logradouros públicos no Município de Curitiba.
preposicao_10.pdf,005.00223.2023,Instalação do espaço playpet em praças e espaços públicos no Município de Curitiba.
preposicao_11.pdf,005.00218.2023,Alienação de área de terreno em favor de LRB Participações Societárias e Investimentos Imobiliários S/A.
preposicao_12.pdf,005.00217.2023,Aquisição de área da Curitiba S.A. para regularização do Centro Municipal de Educação Infantil Vereadora Laís Peretti.
preposicao_13.pdf,005.00216.2023,Aquisição de área da Curitiba S.A.
preposicao_14.pdf,005.00215.2023,Autorização para aquisição de área da Companhia de Desenvolvimento de Curitiba.
preposicao_15.pdf,005.00212.2023,Política Municipal de cessão onerosa de direito à nomeação (Naming Rights) de espaços públicos de Curitiba.
preposicao_16.pdf,005.00200.2023,Permuta de áreas entre o Poder Executivo Municipal e Novaplan Engenharia e Empreendimentos Ltda.
preposicao_17.pdf,005.00186.2023,Política Municipal de Curitiba de Proteção e Atenção Integral aos Órfãos e Órfãs de Feminicídio.
preposicao_18.pdf,005.00178.2023,Política Municipal para a População Imigrante e Refugiada
preposicao_19.pdf,005.00170.2023,Leitos adaptados para pacientes com Transtorno do Espectro Autista (TEA) em hospitais e UPAs.
preposicao_20.pdf,005.00155.2024,Alteração da estrutura organizacional da Câmara Municipal de Curitiba.
preposicao_21.pdf,005.00155.2022,Atendimento pelo SITES para pessoas com deficiência nas Escolas Especializadas e Centros de Atendimentos Educacionais Especializados.
preposicao_22.pdf,005.00152.2024,Reajuste dos subsídios dos Vereadores da Câmara Municipal de Curitiba.
preposicao_23.pdf,005.00144.2023,Obrigatoriedade de instalação de fraldário em praças e parques públicos de Curitiba.
preposicao_24.pdf,005.00141.2023,Sanções administrativas a imobiliárias que intermediarem imóveis ocupados irregularmente do Município de Curitiba.
preposicao_25.pdf,005.00135.2024,Comércio ambulante itinerante em Curitiba.
preposicao_26.pdf,005.00133.2023,Fornecimento gratuito de fraldas descartáveis para crianças vulneráveis em CMEIs.
preposicao_27.pdf,005.00128.2023,Pagamento por Serviços Ambientais na cidade de Curitiba.
preposicao_28.pdf,005.00127.2024,Ratificação do Protocolo de Intenções do Consórcio Intermunicipal das Guardas Municipais da Região Metropolitana de Curitiba.
preposicao_29.pdf,005.00123.2024,Ratificação da Consolidação do Protocolo de Intenções do Consórcio Intermunicipal para Gestão de Resíduos Sólidos Urbanos.
preposicao_30.pdf,005.00108.2023,Programa Servidor Amigo do Autista (Capacitação de servidores no atendimento a pessoas com TEA)
preposicao_31.pdf,005.00106.2022,Veda o uso de arquitetura hostil nos espaços livres de uso público urbanos em Curitiba.
preposicao_32.pdf,005.00092.2023,Acesso gratuito a aplicativos de estacionamento rotativo em Curitiba.
