arquivo,numero,tema
Proposicao1.txt,501.00004.2024,Prestação de contas do Município de Curitiba referente ao exercício financeiro de 2022
Proposicao2.txt,501.00003.2024,"Prestação de contas do Município de  Curitiba,  referente  ao exercício financeiro de 2016"
Proposicao3.txt,501.00002.2024,"Prestação de contas do Município de  Curitiba,  referente  ao exercício financeiro de 2014"
Proposicao4.txt,501.00001.2024,"Prestação de contas do Município de  Curitiba,  referente  ao exercício financeiro de 2012"
Proposicao5.txt,013.00004.2024,Estima a Receita e fixa a Despesa do M para o exercício financeiro de 2025
Proposicao6.txt,013.00003.2024,Altera dispositivos da Lei Municipal nº 16
Proposicao7.txt,013.00002.2024,"Dispõe sobre a abertura de Crédi Adicional Suplementar, no valor de R 8"
Proposicao8.txt,013.00001.2024,Dispõe sobre as diretrizes para a elaboração e execução da Lei Orçamentária Anual para 2025 e dá outras providências
Proposicao9.txt,005.00247.2021,Dispõe sobre o compartilhamento  bicicletas em vias e logradour públicos no Município de Curitiba e outras providências
Proposicao10.txt,005.00223.2023,Altera a Lei Ordinária nº 15
Proposicao11.txt,005.00218.2023,"Suprime, desafeta e incorpora área de terreno aos bens dominicais e autoriza o Poder Executivo a alienar em favor de LRB Participações Societárias  e  Investimentos Imobiliários  S/A,  a  área  que especifica"
Proposicao12.txt,005.00217.2023,"Autoriza o Poder Executivo a adquirir  da  Companhia  de Desenvolvimento  de  Curitiba, Curitiba S"
Proposicao13.txt,005.00216.2023,"Autoriza o Poder Executivo a adquirir  da  Companhia  de Desenvolvimento  de  Curitiba, Curitiba S"
Proposicao14.txt,005.00215.2023,"Autoriza o Poder Executivo a adquirir  da  Companhia  de Desenvolvimento  de  Curitiba, Curitiba S"
Proposicao15.txt,005.00212.2023,"Institui a Política Municipal de cessão onerosa de direito à nomeação (Naming Rigths) de eventos,  estabelecimentos, instalações,  equipamentos, edificações e espaços públicos municipais de Curitiba"
Proposicao16.txt,005.00200.2023,Autoriza  o  Poder  Executivo Municipal  a  permutar  com Novaplan  Engenharia  e Empreendimentos Ltda as áreas que especifica
Proposicao17.txt,005.00186.2023,Institui a Política Municipal de Curitiba de Proteção e Atenção Integral aos Órfãos e Órfãs de Feminicídio
Proposicao18.txt,005.00178.2023,"Institui a Política Municipal para a  População  Imigrante  e Refugiada, dispõe sobre seus objetivos, princípios, diretrizes e ações prioritárias, e dá outras providências"
Proposicao19.txt,005.00170.2023,Dispõe sobre a obrigatoriedade da criação de leitos adaptados em hospitais e Unidades de Pronto Atendimento  (UPAs)  para pacientes com Transtorno do Espectro Autista (TEA) e outras necessidades especiais
Proposicao20.txt,005.00155.2024,Altera dispositivos da Lei n
Proposicao21.txt,005.00155.2022,"Dispõe  sobre  atendimento  pelo Sistema Integrado de Transporte para o Ensino Especial - SITES para pessoas com  deficiência  nas  Escolas Especializadas,  nos  Centros  de Atendimentos  Educacionais Especializados e Salas de Recursos"
Proposicao22.txt,005.00152.2024,"Concede reajuste linear, a título de revisão geral anual, dos subsídios dos Vereadores da Câmara Municipal de Curitiba"
Proposicao23.txt,005.00144.2023,Altera a Lei nº 15
Proposicao24.txt,005.00141.2023,Estabelece  sanções administrativas às imobiliárias que intermediarem a compra e venda ou a locação de imóveis de propriedade do Município de Curitiba ocupados irregularmente por particulares
Proposicao25.txt,005.00135.2024,Altera a Lei nº 6
Proposicao26.txt,005.00133.2023,Dispõe sobre o fornecimento gratuito de fraldas descartáveis para crianças em situação de vulnerabilidade  social matriculadas  nos  Centros Municipais de Educação Infantil
Proposicao27.txt,005.00128.2023,Institui  o  Pagamento  por Serviços Ambientais na cidade de Curitiba
Proposicao28.txt,005.00127.2024,"Ratifica a Consolidação do Protocolo de  Intenções  do  Consórcio Intermunicipal  das  Guardas Municipais da Região Metropolitana de Curitiba, nos termos da Lei Federal nº 11"
Proposicao29.txt,005.00123.2024,"Ratifica a Consolidação do Protocolo de  Intenções  do  Consórcio Intermunicipal para Gestão de Resíduos  Sólidos  Urbanos,  nos termos da Lei Federal nº 11"
Proposicao30.txt,005.00108.2023,"Dispõe sobre o programa  Servidor Amigo do Autista, que  trata da Capacitação técnica de  todos os servidores do Município  de Curitiba no atendimento às  pessoas  com o Transtorno do  Espectro Autista"
Proposicao31.txt,005.00106.2022,Veda o uso de arquitetura hostil nos  espaços livres de uso público urbanos  em Curitiba
Proposicao32.txt,005.00092.2023,Altera a Lei nº 3979/1971 para conceder  acesso  gratuito  aos aplicativos oficiais de estacionamento rotativo homologados pela URBS em Curitiba
Proposicao33.txt,005.00085.2024,Institui  o  Programa  de  Monitorização Contínua da  Glicose às crianças matriculadas  na rede de ensino público do  município de Curitiba
Proposicao34.txt,005.00085.2023,"Cria o Programa Municipal de  Proteção  de  Instituições  Educacionais contra Atentados  Violentos,  e  dá  outras  providências"
Proposicao35.txt,005.00082.2022,Acrescenta os parágrafos 3º e 4º ao artigo 4º e revoga o inciso III do artigo 3º da Lei 3
Proposicao36.txt,005.00060.2023,"Institui o Estatuto das Garantias dos  Cidadãos, como consolidação de  normas que regulamentam a relação  do poder público com o cidadão  curitibano, e dá outras providências"
Proposicao37.txt,005.00054.2024,Institui a campanha de combate à esporotricose animal
Proposicao38.txt,005.00054.2023,"Institui a Política Municipal de Cuidados Paliativos, conforme especifica"
Proposicao39.txt,005.00049.2024,Dispõe sobre o aporte de recursos financeiros  para  subsidiar  a aquisição de unidades habitacionais
Proposicao40.txt,005.00045.2024,Autoriza o Poder Executivo a alienar em favor de Antônio Carlos Pontes Coelho a área que especifica
Proposicao41.txt,005.00044.2024,"Autoriza o Poder Executivo a alienar, em favor de Joaquim Lourenço Cancela, a área que especifica"
Proposicao42.txt,005.00042.2024,"Dispõe sobre o uso do nome social e o reconhecimento da identidade de gênero de pessoas travestis e transexuais no âmbito da  administração  pública municipal direta, autárquica e fundacional"
